employer_name,employer_phone,employer_email,employer_hq_address,employer_hq_in_dc,employer_home_url,employer_employment_url,employer_notes,employer_box_present,employer_crime_type_asked,,employer_years_specified,Accounting,Administrative,Banking,Construction,Business,Creative,Customer Support,Editorial,Education,Engineering,Hospitality,Human Resources,Software,Maintenance,Legal,Logistics,Manufacturing,Marketing,Medical,Other,Project,Government,Non-profit,Sales,Security,position_title,position_phone,position_location,job_posted,collateral_sanction_applies,which_collateral_sanction
Decision Toolbox,,,,,,,,,,,,,,,,,,,,y,,,,y,y,,,,,y,,,,,,,Decision Toolbox,,"Washington, District Of Columbia",http://my.jobs/1A49BFFC3B584CF8B8FC1B1E9B3C2EA9,,
Department of State - Agency Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,Department of State - Agency Wide,,"District of Columbia, District Of Columbia",http://my.jobs/4D46A49209CE441E884EBB3B02899D2A,,
Deputy Assistant Secretary for Information and Technology,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,Deputy Assistant Secretary for Information and Technology,,"Washington DC, District Of Columbia",http://my.jobs/E58A069D31B74E398BA70DC1872F923B,,
Library of Congress,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,y,,,y,Library of Congress,,"Washington DC, District Of Columbia",http://my.jobs/FC0BA4C0200743C3A65D0FFA1E4F6B7F,,
"Veterans Affairs, Veterans Health Administration",,,,,,,,,,,,,,,,,,,,y,,,,y,,,,,,y,,,,,,y,"Veterans Affairs, Veterans Health Administration",,"Washington DC, District Of Columbia",http://my.jobs/C5AA7D27B6C34C36922070CF2B0B3206,,
Federal Reserve System--Board Of Governors,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,Federal Reserve System--Board Of Governors,,"Washington DC, District Of Columbia",http://my.jobs/3E72887CE8A0481199FF61DC0272BECE,,
Panduit N.A. Sales,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,y,y,Panduit N.A. Sales,,"Washington, District Of Columbia",http://my.jobs/E5934827A1274E9EBD184BC9D46EC75F,,
Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Millennium Challenge Corporation,,"Washington DC, District Of Columbia",http://my.jobs/C95130353950458DB399ABCA65DCF252,,
"Offices, Boards and Divisions",,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,"Offices, Boards and Divisions",,"Washington DC, District Of Columbia",http://my.jobs/3CB8B82BCC0647698FAD793A6DA4959E,,
Library of Congress,,,,,,,background check,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,Library of Congress,,"Washington DC, District Of Columbia",http://my.jobs/6F140B2CC56E4584ADE17DE2E41B3C69,,
